Date,Total Inflows,Customers - DDS,Customers - EFT,T&S Collections,FX Sales,Other operations,Total Outflows,Tüpraş,Other Oil,Gas,Import payments (FX purchases),Tax,Operatioınal and Admin. Expenses,VIS Buyback Payments,Net Cashflow from Operations,Inflows- currency
2019-01-02,17470499.6475,7718750,9655499.6475,0,0.0,96250,-46315933.400000006,-14570216.2575,-144151,-1109963.25,-29274250,-104883.9425,-1112468.9499999997,0,-28845433.752500005,
2019-01-03,11530478.05,3431500,8098978.05,0,0.0,0,-15353485.219999999,-13371811.4,-300799.25,-279857.5,-7746,-788785.335,-604485.735,0,-3823007.169999998,
2019-01-04,25913281.4525,13775750,12137531.4525,0,0.0,0,-109865077.64500001,-24593902.045,0,0,-49032605,-2936466.5575,-7175889.9799999995,-26126214.0625,-83951796.19250001,
2019-01-07,52593449.0875,39041750,13551699.087499999,0,0.0,0,-51654891.260000005,-31105940.75,-3364373,-1406590.3025,-12049750,-821862.3975,-2906374.81,0,938557.8274999931,
2019-01-08,36504292.0525,15137500,21366792.052500002,0,0.0,0,-18421776.159999996,-12460994.3875,-16765.25,-407899.5,-67702.5,-4438173.8025,-1030240.72,0,18082515.892500006,
2019-01-09,27965653.357499998,12786250,15179403.357499998,0,0.0,0,-11328221.657499999,-5077061.475,-3587084,-361553.5,-274790,-27842.9475,-1999889.7349999999,0,16637431.7,
2019-01-10,44086101.33,29394250,14691851.329999998,0,0.0,0,-70007569.61,-12401691.0225,-421900.4675,-698895.5825,-6828750,-48042748.6925,-1613583.845,0,-25921468.28,
2019-01-11,25129042.292499997,13427000,11702042.292499999,0,0.0,0,-23602300.23,-4440184.0425,-33763,-399191.75,-11117150,-5480974.47,-2131036.9675,0,1526742.0624999963,
2019-01-14,64097492.09,43617250,17980992.09,2499250,0.0,0,-43610780.6175,-33089202.865,-67596,-1262614.2675,-7783395,-27260.0925,-1380712.3924999998,0,20486711.472500004,
2019-01-15,73822454.2125,29195250,32928560.540000003,11698643.6725,0.0,0,-28036531.4275,-7515044.2925,0,-358791.75,-18086776.25,-400217.645,-1675701.49,0,45785922.78500001,
2019-01-16,47862931.31,10511750,21786887.1925,15564294.1175,0.0,0,-34178631.017500006,-9595517.875,-7650604.9350000005,-725909.7424999999,-14864875,-48.55,-1341674.915,0,13684300.292499997,
2019-01-17,18445425.5775,2678500,10921211.510000002,4845714.067499999,0.0,0,-7577805.717500001,-4721226.077500001,-54733,-743894.25,0,-446465.2125,-1611487.1775000002,0,10867619.86,
2019-01-18,25692045.2475,13263250,11924004.504999999,504790.7425,0.0,0,-56243082.608088,-22731777.7925,-732712.75,-675461.75,-156003.888088,-1318670.745,-2560750.74,-28067704.9425,-30551037.360588003,
2019-01-21,85980150.1025,35412250,30459933.475,20107966.6275,0.0,0,-76740613.176412,-55129761.2375,-16716886.65,-1520339,-274390.053912,-399297.29,-2699938.9449999994,0,9239536.926088005,
2019-01-22,42081259.675,12990500,19297459.715,9793299.96,0.0,0,-20076003.1675,-14552093.235,-24596.315,-2388866.9425,-1604520,-662276.7425,-843649.9325000001,0,22005256.507499997,
2019-01-23,19208086.0025,11220000,7589480.069999999,398605.9325,0.0,0,-12890141.364999998,-4849238.7025,-146999.25,-602087.75,0,-3518627.39,-3773188.2725,0,6317944.637500003,
2019-01-24,31916706.2,8196750,14385015.33,9334940.870000001,0.0,0,-20026836.942500003,-10230381.145,-2009268.625,-535176.5,-6608500.000000001,-7677.0025,-635833.67,0,11889869.257499997,
2019-01-25,43352974.9775,30752250,10221044.785,2379680.1925,0.0,0,-69077626.4225,-17667194.0475,-729142.5,-998301.5,0,-47378187.3775,-2304800.9975,0,-25724651.445,
2019-01-28,62767602.25,34592500,19460135.457500003,8714966.7925,0.0,0,-79023556.1375,-44615419.3875,-67176,-1861418.4775,-17043818.75,-12252785.67,-3182937.8525,0,-16255953.887500003,
