Yıl,Ay,IMM TL/m3,Pump Price,Depot Price
2018,1," 596,79 "," 5,28 "," 4.149,81 "
2018,2," 606,58 "," 5,23 "," 4.110,32 "
2018,3," 610,44 "," 5,32 "," 4.195,51 "
2018,4," 608,02 "," 5,62 "," 4.449,25 "
2018,5," 574,56 "," 5,77 "," 4.605,51 "
2018,6," 566,88 "," 5,85 "," 4.654,05 "
2018,7," 568,14 "," 5,85 "," 4.653,43 "
2018,8," 578,37 "," 6,14 "," 4.895,90 "
2018,9," 626,97 "," 6,46 "," 5.141,45 "
2018,10," 676,90 "," 6,52 "," 5.183,54 "
2018,11," 711,11 "," 6,41 "," 5.126,19 "
2018,12," 717,18 "," 5,98 "," 4.774,72 "
2019,1," 723,05 "," 6,02 "," 4.784,03 "
2019,2," 723,29 "," 6,16 "," 4.924,61 "
2019,3," 724,89 "," 6,45 "," 5.158,59 "
2019,4," 741,79 "," 6,58 "," 5.258,89 "
2019,5," 739,02 "," 6,64 "," 5.300,94 "
2019,6," 790,24 "," 6,52 "," 5.199,24 "
2019,7," 810,47 "," 6,59 "," 5.253,09 "
2019,8," 829,02 "," 6,38 "," 5.038,32 "
2019,9," 832,98 "," 6,58 "," 5.223,69 "
2019,10," 841,94 "," 6,63 "," 5.262,43 "
2019,11," 846,15 "," 6,67 "," 5.291,59 "
2019,12," 854,30 "," 6,66 "," 5.277,54 "
2020,1," 863,25 "," 6,68 "," 5.308,16 "
2020,2," 873,64 "," 6,50 "," 5.138,24 "
2020,3," 894,27 "," 5,82 "," 4.549,79 "
2020,4," 922,12 "," 5,23 "," 4.063,43 "
2020,5," 945,60 "," 5,43 "," 4.218,53 "
2020,6," 817,29 "," 5,81 "," 4.597,30 "
2020,7," 818,27 "," 6,10 "," 4.821,35 "
2020,8," 828,31 "," 6,27 "," 4.953,49 "
2020,9," 844,58 "," 6,16 "," 4.850,69 "
2020,10," 855,14 "," 6,31 "," 4.949,01 "
2020,11," 877,74 "," 6,47 "," 5.086,74 "
2020,12," 913,90 "," 6,80 "," 5.320,65 "
2021,1," 929,34 "," 6,84 "," 5.347,71 "
2021,2," 940,33 "," 6,85 "," 5.353,49 "
2021,3," 865,08 "," 6,77 "," 5.324,00 "
2021,4," 764,48 "," 6,65 "," 5.267,92 "
2021,5," 817,68 "," 7,05 "," 5.496,82 "
2021,6," 874,84 "," 7,44 "," 5.872,81 "
2021,7," 887,42 "," 7,47 "," 5.889,00 "
2021,8," 878,52 "," 7,48 "," 5.987,74 "
2021,9," 885,21 "," 7,49 "," 5.911,61 "
2021,10," 898,18 "," 7,89 "," 6.265,89 "
2021,11," 920,00 "," 8,60 "," 6.917,02 "
2021,12," 963,06 "," 10,63 "," 8.688,64 "
2022,1," 1.025,74 "," 13,77 "," 11.221,90 "
2022,2," 1.081,41 "," 15,33 "," 12.547,69 "
2022,3," 1.260,11 "," 19,89 "," 16.938,64 "
2022,4," 1.391,19 "," 21,00 "," 17.167,27 "
2022,5," 1.428,25 "," 22,43 "," 18.322,91 "
2022,6," 1.506,08 "," 27,69 "," 23.049,58 "
2022,7," 1.597,06 "," 25,20 "," 20.562,96 "
2022,8," 1.641,60 "," 23,61 "," 19.358,23 "
2022,9," 1.703,10 "," 23,15 "," 18.880,31 "
2022,10," 1.773,62 "," 24,77 "," 20.379,60 "
2022,11," 1.827,06 "," 24,47 "," 19.948,92 "
2022,12," 1.926,96 "," 21,23 "," 17.233,08 "
