Tarih,ÖTV ,Adet,ÖTV Oranı,ÖTV uygulanan Ürün Adı
2018-05-22,2124.1,1000,2.1241,Kursunsuz Benzin 95
2018-05-22,2124.1,1000,2.1241,Kursunsuz Benzin 95
2018-05-22,2081.62,1000,2.08162,Etanollü Kurşunsuz Benzin 95
2018-05-22,2081.62,1000,2.08162,Etanollü Kurşunsuz Benzin 95
2018-05-22,1567.9,1000,1.5679,Motorin
2018-05-22,1567.9,1000,1.5679,Biodizelli Motorin
2018-05-22,1650.1,1000,1.6501,LPG
2018-05-29,2042.4,1000,2.0424,Kursunsuz Benzin 95
2018-05-29,2042.4,1000,2.0424,Kursunsuz Benzin 95
2018-05-29,2001.55,1000,2.00155,Etanollü Kurşunsuz Benzin 95
2018-05-29,2001.55,1000,2.00155,Etanollü Kurşunsuz Benzin 95
2018-05-29,1487.1,1000,1.4870999999999999,Motorin
2018-05-29,1487.1,1000,1.4870999999999999,Biodizelli Motorin
2018-05-29,1512.1,1000,1.5121,LPG
2018-06-02,2184.2,1000,2.1841999999999997,Kursunsuz Benzin 95
2018-06-02,2184.2,1000,2.1841999999999997,Kursunsuz Benzin 95
2018-06-02,2140.52,1000,2.14052,Etanollü Kurşunsuz Benzin 95
2018-06-02,2140.52,1000,2.14052,Etanollü Kurşunsuz Benzin 95
2018-06-02,1621.0,1000,1.621,Motorin
2018-06-02,1621.0,1000,1.621,Biodizelli Motorin
2018-06-06,1318.9,1000,1.3189000000000002,LPG
2018-06-26,1215.2,1000,1.2152,LPG
2018-07-17,2060.4,1000,2.0604,Kursunsuz Benzin 95
2018-07-17,2060.4,1000,2.0604,Kursunsuz Benzin 95
2018-07-17,2019.19,1000,2.01919,Etanollü Kurşunsuz Benzin 95
2018-07-17,2019.19,1000,2.01919,Etanollü Kurşunsuz Benzin 95
2018-07-18,2174.8,1000,2.1748000000000003,Kursunsuz Benzin 95
2018-07-18,2174.8,1000,2.1748000000000003,Kursunsuz Benzin 95
2018-07-18,2131.3,1000,2.1313,Etanollü Kurşunsuz Benzin 95
2018-07-18,2131.3,1000,2.1313,Etanollü Kurşunsuz Benzin 95
2018-07-31,1956.9,1000,1.9569,Kursunsuz Benzin 95
2018-07-31,1956.9,1000,1.9569,Kursunsuz Benzin 95
2018-07-31,1917.76,1000,1.91776,Etanollü Kurşunsuz Benzin 95
2018-07-31,1917.76,1000,1.91776,Etanollü Kurşunsuz Benzin 95
2018-07-31,1483.5,1000,1.4835,Motorin
2018-07-31,1483.5,1000,1.4835,Biodizelli Motorin
2018-08-02,1002.8,1000,1.0028,LPG
2018-08-09,863.8,1000,0.8637999999999999,LPG
2018-08-14,1492.0,1000,1.492,Kursunsuz Benzin 95
2018-08-14,1492.0,1000,1.492,Kursunsuz Benzin 95
2018-08-14,1462.16,1000,1.4621600000000001,Etanollü Kurşunsuz Benzin 95
2018-08-14,1462.16,1000,1.4621600000000001,Etanollü Kurşunsuz Benzin 95
2018-08-14,904.9,1000,0.9048999999999999,Motorin
2018-08-14,904.9,1000,0.9048999999999999,Biodizelli Motorin
2018-08-16,1994.4,1000,1.9944000000000002,Kursunsuz Benzin 95
2018-08-16,1994.4,1000,1.9944000000000002,Kursunsuz Benzin 95
2018-08-16,1954.51,1000,1.95451,Etanollü Kurşunsuz Benzin 95
2018-08-16,1954.51,1000,1.95451,Etanollü Kurşunsuz Benzin 95
2018-08-16,1361.0,1000,1.361,Motorin
2018-08-16,1361.0,1000,1.361,Biodizelli Motorin
2018-08-16,810.5,1000,0.8105,LPG
2018-09-04,1484.2,1000,1.4842,Kursunsuz Benzin 95
2018-09-04,1484.2,1000,1.4842,Kursunsuz Benzin 95
2018-09-04,1454.52,1000,1.45452,Etanollü Kurşunsuz Benzin 95
2018-09-04,1454.52,1000,1.45452,Etanollü Kurşunsuz Benzin 95
2018-09-04,805.8,1000,0.8058,Motorin
2018-09-04,805.8,1000,0.8058,Biodizelli Motorin
2018-09-04,387.9,1000,0.38789999999999997,LPG
2018-09-11,225.5,1000,0.2255,LPG
2018-09-13,1634.7,1000,1.6347,Kursunsuz Benzin 95
2018-09-13,1634.7,1000,1.6347,Kursunsuz Benzin 95
2018-09-13,1602.01,1000,1.60201,Etanollü Kurşunsuz Benzin 95
2018-09-13,1602.01,1000,1.60201,Etanollü Kurşunsuz Benzin 95
2018-09-18,1917.0,1000,1.917,Kursunsuz Benzin 95
2018-09-18,1917.0,1000,1.917,Kursunsuz Benzin 95
2018-09-18,1878.66,1000,1.87866,Etanollü Kurşunsuz Benzin 95
2018-09-18,1878.66,1000,1.87866,Etanollü Kurşunsuz Benzin 95
2018-09-18,1172.6,1000,1.1725999999999999,Motorin
2018-09-18,1172.6,1000,1.1725999999999999,Biodizelli Motorin
2018-09-18,393.9,1000,0.3939,LPG
2018-09-26,1746.4,1000,1.7464000000000002,Kursunsuz Benzin 95
2018-09-26,1746.4,1000,1.7464000000000002,Kursunsuz Benzin 95
2018-09-26,1711.47,1000,1.71147,Etanollü Kurşunsuz Benzin 95
2018-09-26,1711.47,1000,1.71147,Etanollü Kurşunsuz Benzin 95
2018-09-26,1012.3,1000,1.0123,Motorin
2018-09-26,1012.3,1000,1.0123,Biodizelli Motorin
2018-10-09,751.9,1000,0.7519,Motorin
2018-10-09,751.9,1000,0.7519,Biodizelli Motorin
2018-10-10,267.9,1000,0.26789999999999997,LPG
2018-10-16,1043.0,1000,1.043,Motorin
2018-10-16,1043.0,1000,1.043,Biodizelli Motorin
2018-10-17,2099.2,1000,2.0991999999999997,Kursunsuz Benzin 95
2018-10-17,2099.2,1000,2.0991999999999997,Kursunsuz Benzin 95
2018-10-17,2057.22,1000,2.0572199999999996,Etanollü Kurşunsuz Benzin 95
2018-10-17,2057.22,1000,2.0572199999999996,Etanollü Kurşunsuz Benzin 95
2018-10-19,447.4,1000,0.44739999999999996,LPG
2018-10-20,1290.6,1000,1.2906,Motorin
2018-10-20,1290.6,1000,1.2906,Biodizelli Motorin
2018-10-25,2179.6,1000,2.1795999999999998,Kursunsuz Benzin 95
2018-10-25,2179.6,1000,2.1795999999999998,Kursunsuz Benzin 95
2018-10-25,2136.01,1000,2.13601,Etanollü Kurşunsuz Benzin 95
2018-10-25,2136.01,1000,2.13601,Etanollü Kurşunsuz Benzin 95
2018-11-01,2352.4,1000,2.3524000000000003,Kursunsuz Benzin 95
2018-11-01,2352.4,1000,2.3524000000000003,Kursunsuz Benzin 95
2018-11-01,2305.35,1000,2.30535,Etanollü Kurşunsuz Benzin 95
2018-11-01,2305.35,1000,2.30535,Etanollü Kurşunsuz Benzin 95
2018-11-01,585.8,1000,0.5858,LPG
2018-11-03,2376.5,1000,2.3765,Kursunsuz Benzin 95
2018-11-03,2376.5,1000,2.3765,Kursunsuz Benzin 95
2018-11-03,2328.97,1000,2.32897,Etanollü Kurşunsuz Benzin 95
2018-11-03,2328.97,1000,2.32897,Etanollü Kurşunsuz Benzin 95
2018-11-07,1522.7,1000,1.5227,Motorin
2018-11-07,1522.7,1000,1.5227,Biodizelli Motorin
2018-11-08,1417.7,1000,1.4177,LPG
2018-11-20,1739.9,1000,1.7399,Motorin
2018-11-20,1739.9,1000,1.7399,Biodizelli Motorin
2018-11-23,1794.5,1000,1.7945,Motorin
2018-11-23,1794.5,1000,1.7945,Biodizelli Motorin
2018-11-29,1518.7,1000,1.5187,LPG
2018-12-04,1778.0,1000,1.778,LPG
2019-03-13,1684.4,1000,1.6844000000000001,LPG
2019-04-10,2304.3,1000,2.3043,Kursunsuz Benzin 95
2019-04-10,2304.3,1000,2.3043,Kursunsuz Benzin 95
2019-04-10,2258.21,1000,2.25821,Etanollü Kurşunsuz Benzin 95
2019-04-10,2258.21,1000,2.25821,Etanollü Kurşunsuz Benzin 95
