Tarih,Ürün,Avrupa Birliği Birimi,AB Piyasa Fiyatı,AB Piyasa Fiyatı- Yüksek,AB Piyasa Fiyatı- Düşük,Dolar Kuru (Satış)
2022-12-31,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,932.25,932.5,932.0,18.732
2022-12-30,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,932.25,932.5,932.0,18.732
2022-12-29,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,927.0,927.25,926.75,18.7303
2022-12-28,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,926.25,926.5,926.0,18.7301
2022-12-27,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,920.0,920.25,919.75,18.715
2022-12-26,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,920.0,920.25,919.75,18.6986
2022-12-25,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,920.0,920.25,919.75,18.6928
2022-12-24,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,920.0,920.25,919.75,18.6928
2022-12-23,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,920.0,920.25,919.75,18.6928
2022-12-22,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,910.25,910.5,910.0,18.6858
2022-12-21,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,904.75,905.0,904.5,18.6768
2022-12-20,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,882.0,882.25,881.75,18.6717
2022-12-19,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,896.25,896.5,896.0,18.6647
2022-12-18,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,904.75,905.0,904.5,18.6603
2022-12-17,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,904.75,905.0,904.5,18.6603
2022-12-16,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,904.75,905.0,904.5,18.6603
2022-12-15,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,944.75,945.0,944.5,18.6589
2022-12-14,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,945.5,945.75,945.25,18.6602
2022-12-13,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,906.25,906.5,906.0,18.6581
2022-12-12,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,866.5,866.75,866.25,18.6534
2022-12-11,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,839.0,839.25,838.75,18.6544
2022-12-10,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,839.0,839.25,838.75,18.6544
2022-12-09,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,839.0,839.25,838.75,18.6544
2022-12-08,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,834.25,834.5,834.0,18.6538
2022-12-07,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,840.25,840.5,840.0,18.6501
2022-12-06,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,857.25,857.5,857.0,18.6479
2022-12-05,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,928.0,928.25,927.75,18.6465
2022-12-04,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,955.25,955.5,955.0,18.6438
2022-12-03,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,955.25,955.5,955.0,18.6438
2022-12-02,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,955.25,955.5,955.0,18.6438
2022-12-01,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,990.75,991.0,990.5,18.6458
2022-11-30,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,974.75,975.0,974.5,18.653
2022-11-29,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,937.25,937.5,937.0,18.6475
