Yıl,Tarih,USD ALIŞ,USD SATIŞ,EUR ALIŞ,EUR SATIŞ,GBP ALIŞ,GBP SATIŞ
2018,2018-01-02,3.7719,3.7787,4.5155,4.5237,5.0803,5.1068
2018,2018-01-03,3.7652,3.7719,4.5375,4.5457,5.091,5.1175
2018,2018-01-04,3.7617,3.7685,4.5267,4.5349,5.1014,5.128
2018,2018-01-05,3.76,3.7668,4.5269,4.5351,5.0818,5.1083
2018,2018-01-06,,,,,,
2018,2018-01-07,,,,,,
2018,2018-01-08,3.7456,3.7523,4.5144,4.5226,5.0647,5.0911
2018,2018-01-09,3.7454,3.7521,4.493,4.5011,5.0628,5.0892
2018,2018-01-10,3.7554,3.7621,4.484,4.4921,5.0754,5.1019
2018,2018-01-11,3.7844,3.7912,4.5255,4.5337,5.1085,5.1352
2018,2018-01-12,3.7919,3.7988,4.5287,4.5369,5.1038,5.1304
2018,2018-01-13,,,,,,
2018,2018-01-14,,,,,,
2018,2018-01-15,3.7622,3.769,4.5517,4.5599,5.1046,5.1312
2018,2018-01-16,3.7593,3.7661,4.6015,4.6098,5.1663,5.1932
2018,2018-01-17,3.815,3.8219,4.6679,4.6763,5.2443,5.2717
2018,2018-01-18,3.8143,3.8212,4.6624,4.6708,5.2473,5.2746
2018,2018-01-19,3.7967,3.8036,4.6385,4.6469,5.2487,5.276
2018,2018-01-20,,,,,,
2018,2018-01-21,,,,,,
2018,2018-01-22,3.7777,3.7845,4.6367,4.645,5.246,5.2733
2018,2018-01-23,3.8098,3.8167,4.6647,4.6731,5.2838,5.3113
2018,2018-01-24,3.7874,3.7942,4.6369,4.6453,5.276,5.3035
2018,2018-01-25,3.7558,3.7625,4.6307,4.639,5.2786,5.3062
2018,2018-01-26,3.7421,3.7489,4.6465,4.6548,5.3299,5.3577
2018,2018-01-27,,,,,,
2018,2018-01-28,,,,,,
2018,2018-01-29,3.7371,3.7438,4.6557,4.664,5.3132,5.3409
2018,2018-01-30,3.7728,3.7796,4.6804,4.6888,5.3134,5.3411
2018,2018-01-31,3.7795,3.7863,4.6824,4.6908,5.3025,5.3301
2018,2018-02-01,3.754,3.7608,4.6728,4.6812,5.31,5.3377
2018,2018-02-02,3.7567,3.7635,4.6671,4.6755,5.3323,5.3601
2018,2018-02-03,,,,,,
2018,2018-02-04,,,,,,
2018,2018-02-05,3.7454,3.7521,4.6795,4.6879,5.3216,5.3493
2018,2018-02-06,3.7632,3.77,4.6867,4.6951,5.2973,5.3249
2018,2018-02-07,3.7786,3.7854,4.6843,4.6927,5.2693,5.2967
2018,2018-02-08,3.7714,3.7782,4.6638,4.6722,5.2432,5.2705
2018,2018-02-09,3.8073,3.8142,4.6629,4.6713,5.2738,5.3013
2018,2018-02-10,,,,,,
2018,2018-02-11,,,,,,
2018,2018-02-12,3.8119,3.8188,4.6749,4.6833,5.2999,5.3275
2018,2018-02-13,3.8068,3.8137,4.6718,4.6802,5.264,5.2915
2018,2018-02-14,3.7963,3.8031,4.6793,4.6878,5.2599,5.2873
2018,2018-02-15,3.7973,3.8041,4.6938,4.7022,5.2615,5.289
2018,2018-02-16,3.7721,3.7789,4.7089,4.7174,5.2894,5.317
2018,2018-02-17,,,,,,
2018,2018-02-18,,,,,,
2018,2018-02-19,3.7523,3.7591,4.6967,4.7052,5.2815,5.309
2018,2018-02-20,3.7531,3.7599,4.6593,4.6677,5.2521,5.2795
2018,2018-02-21,3.7698,3.7766,4.6575,4.6659,5.2597,5.2872
2018,2018-02-22,3.7845,3.7913,4.6641,4.6725,5.2752,5.3027
2018,2018-02-23,3.7994,3.8062,4.6666,4.675,5.2671,5.2945
2018,2018-02-24,,,,,,
2018,2018-02-25,,,,,,
2018,2018-02-26,3.7816,3.7884,4.6527,4.6611,5.2715,5.2989
2018,2018-02-27,3.7754,3.7822,4.6561,4.6645,5.2931,5.3207
2018,2018-02-28,3.7833,3.7901,4.6646,4.673,5.2749,5.3024
2018,2018-03-01,3.7997,3.8065,4.6439,4.6523,5.2671,5.2946
2018,2018-03-02,3.8082,3.815,4.6434,4.6518,5.2282,5.2555
2018,2018-03-03,,,,,,
2018,2018-03-04,,,,,,
2018,2018-03-05,3.8038,3.8106,4.6705,4.6789,5.2328,5.2601
2018,2018-03-06,3.8161,3.823,4.6963,4.7048,5.2582,5.2856
2018,2018-03-07,3.8001,3.8069,4.693,4.7015,5.253,5.2803
2018,2018-03-08,3.7971,3.8039,4.7154,4.7239,5.2593,5.2867
2018,2018-03-09,3.8089,3.8157,4.7192,4.7277,5.2777,5.3052
2018,2018-03-10,,,,,,
2018,2018-03-11,,,,,,
2018,2018-03-12,3.8164,3.8233,4.6969,4.7054,5.2635,5.2909
2018,2018-03-13,3.8151,3.8219,4.6997,4.7081,5.2801,5.3076
2018,2018-03-14,3.856,3.8629,4.7544,4.7629,5.3464,5.3742
2018,2018-03-15,3.8597,3.8667,4.7787,4.7873,5.3802,5.4082
2018,2018-03-16,3.8875,3.8945,4.8057,4.8143,5.415,5.4432
2018,2018-03-17,,,,,,
2018,2018-03-18,,,,,,
2018,2018-03-19,3.9039,3.911,4.8103,4.8189,5.4402,5.4685
2018,2018-03-20,3.9362,3.9433,4.8335,4.8423,5.4905,5.5191
2018,2018-03-21,3.9356,3.9427,4.8516,4.8604,5.5151,5.5439
2018,2018-03-22,3.9276,3.9347,4.8223,4.8309,5.5045,5.5332
2018,2018-03-23,3.9087,3.9157,4.8245,4.8332,5.5235,5.5523
2018,2018-03-24,,,,,,
2018,2018-03-25,,,,,,
2018,2018-03-26,3.9608,3.9679,4.8853,4.8941,5.5778,5.6069
2018,2018-03-27,3.9742,3.9814,4.9251,4.9339,5.6349,5.6643
2018,2018-03-28,3.9757,3.9829,4.9414,4.9503,5.6163,5.6456
2018,2018-03-29,3.9931,4.0002,4.95,4.9589,5.6443,5.6737
2018,2018-03-30,3.9949,4.0021,4.9191,4.9279,5.6062,5.6354
2018,2018-03-31,,,,,,
2018,2018-04-01,,,,,,
2018,2018-04-02,3.9489,3.956,4.8673,4.8761,5.5385,5.5674
2018,2018-04-03,3.9577,3.9648,4.88,4.8888,5.5562,5.5852
2018,2018-04-04,3.976,3.9832,4.8946,4.9034,5.5824,5.6115
2018,2018-04-05,4.0076,4.0148,4.9228,4.9317,5.6249,5.6542
2018,2018-04-06,4.0269,4.0342,4.9396,4.9485,5.6485,5.678
2018,2018-04-07,,,,,,
2018,2018-04-08,,,,,,
2018,2018-04-09,4.0527,4.06,4.9588,4.9677,5.6663,5.6959
2018,2018-04-10,4.0561,4.0634,4.9798,4.9888,5.712,5.7418
2018,2018-04-11,4.0707,4.078,5.019,5.028,5.7554,5.7854
2018,2018-04-12,4.1453,4.1528,5.1305,5.1398,5.8739,5.9045
2018,2018-04-13,4.1284,4.1358,5.097,5.1062,5.8441,5.8746
2018,2018-04-14,,,,,,
2018,2018-04-15,,,,,,
2018,2018-04-16,4.0785,4.0859,5.0279,5.0369,5.8108,5.8411
2018,2018-04-17,4.096,4.1034,5.0619,5.071,5.8393,5.8697
2018,2018-04-18,4.098,4.1054,5.0747,5.0838,5.8672,5.8978
2018,2018-04-19,4.0964,4.1038,5.0665,5.0756,5.8192,5.8495
2018,2018-04-20,4.0273,4.0345,4.9841,4.993,5.7101,5.7399
2018,2018-04-21,,,,,,
2018,2018-04-22,,,,,,
2018,2018-04-23,,,,,,
2018,2018-04-24,4.0332,4.0405,4.967,4.976,5.6613,5.6908
2018,2018-04-25,4.0848,4.0922,4.9862,4.9952,5.6872,5.7169
2018,2018-04-26,4.0758,4.0832,4.972,4.9809,5.6758,5.7054
2018,2018-04-27,4.0668,4.0742,4.9503,4.9592,5.6582,5.6877
2018,2018-04-28,,,,,,
2018,2018-04-29,,,,,,
